iter	Passed	Remaining
434	1526	1983
435	1529	1978
436	1532	1974
437	1535	1969
438	1538	1966
439	1544	1966
440	1548	1963
441	1553	1960
442	1555	1956
443	1558	1951
444	1561	1947
445	1565	1943
446	1567	1939
447	1570	1934
448	1572	1930
449	1575	1926
450	1578	1921
451	1581	1917
452	1584	1913
453	1587	1909
454	1590	1905
455	1593	1901
456	1596	1896
457	1598	1892
458	1601	1888
459	1604	1883
460	1606	1878
461	1610	1875
462	1612	1870
463	1615	1865
464	1617	1861
465	1620	1856
466	1622	1852
467	1625	1848
468	1628	1844
469	1631	1839
470	1634	1835
471	1637	1831
472	1639	1826
473	1642	1822
474	1645	1818
475	1647	1813
476	1650	1809
477	1653	1805
478	1656	1801
479	1660	1799
480	1666	1798
481	1671	1796
482	1675	1793
483	1678	1789
484	1681	1785
485	1684	1781
486	1686	1776
487	1691	1774
488	1696	1773
489	1699	1768
490	1702	1764
491	1705	1760
492	1708	1756
493	1711	1752
494	1714	1748
495	1716	1744
496	1719	1740
497	1723	1737
498	1726	1733
499	1729	1729
500	1731	1724
501	1734	1720
502	1737	1716
503	1740	1712
504	1742	1708
505	1748	1706
506	1755	1706
507	1761	1706
508	1767	1704
509	1770	1701
510	1775	1699
511	1778	1694
512	1781	1690
513	1787	1689
514	1791	1687
515	1796	1685
516	1799	1680
517	1802	1676
518	1805	1673
519	1812	1672
520	1818	1671
521	1820	1667
522	1823	1663
523	1826	1658
524	1829	1654
525	1832	1651
526	1835	1647
527	1838	1643
528	1840	1639
529	1843	1634
530	1846	1630
531	1849	1626
532	1852	1622
533	1854	1618
534	1857	1614
535	1860	1610
536	1863	1606
537	1866	1602
538	1868	1598
539	1871	1594
540	1874	1590
541	1876	1586
542	1880	1582
543	1882	1578
544	1885	1574
545	1888	1570
546	1890	1566
547	1894	1562
548	1897	1559
549	1901	1555
550	1903	1551
551	1906	1547
552	1909	1543
553	1912	1539
554	1915	1536
555	1918	1532
556	1921	1528
557	1924	1524
558	1927	1520
559	1930	1516
560	1933	1513
561	1936	1508
562	1938	1504
563	1941	1500
564	1944	1497
565	1947	1493
566	1949	1489
567	1952	1485
568	1955	1481
569	1958	1477
570	1960	1473
571	1963	1469
572	1966	1465
573	1969	1461
574	1976	1460
575	1981	1458
576	1986	1456
577	1993	1455
578	1999	1453
579	2003	1450
580	2005	1446
581	2008	1442
582	2011	1438
583	2014	1434
584	2017	1430
585	2019	1426
586	2022	1422
587	2025	1419
588	2028	1415
589	2031	1411
590	2034	1407
591	2037	1403
592	2039	1400
593	2043	1396
594	2045	1392
595	2048	1388
596	2051	1384
597	2053	1380
598	2056	1376
599	2059	1373
600	2062	1369
601	2066	1365
602	2069	1362
603	2072	1358
604	2074	1354
605	2077	1350
606	2080	1346
607	2084	1344
608	2087	1340
609	2090	1336
610	2093	1332
611	2096	1328
612	2098	1325
613	2101	1321
614	2104	1317
615	2106	1313
616	2109	1309
617	2112	1305
618	2115	1301
619	2117	1298
620	2120	1294
621	2123	1290
622	2125	1286
623	2128	1282
624	2131	1278
625	2134	1275
626	2136	1271
627	2139	1267
628	2142	1263
629	2144	1259
630	2147	1255
631	2150	1252
632	2153	1248
633	2155	1244
634	2158	1240
635	2161	1236
636	2166	1234
637	2171	1232
638	2176	1229
639	2182	1227
640	2188	1225
641	2194	1223
642	2199	1221
643	2205	1219
644	2211	1217
645	2217	1214
646	2220	1211
647	2223	1207
648	2225	1203
649	2228	1200
650	2231	1196
651	2234	1192
652	2237	1188
653	2239	1185
654	2242	1181
655	2245	1177
656	2247	1173
657	2250	1169
658	2253	1165
659	2256	1162
660	2260	1159
661	2262	1155
662	2265	1151
663	2268	1147
664	2270	1143
665	2273	1140
666	2275	1136
667	2278	1132
668	2281	1128
669	2284	1124
670	2286	1121
671	2289	1117
672	2291	1113
673	2294	1109
674	2297	1106
675	2300	1102
676	2303	1098
677	2306	1095
678	2308	1091
679	2312	1088
680	2316	1085
681	2319	1081
682	2322	1077
683	2324	1073
684	2327	1070
685	2330	1066
686	2332	1062
687	2335	1059
688	2337	1055
689	2340	1051
690	2343	1047
691	2348	1045
692	2351	1041
693	2353	1037
694	2356	1034
695	2362	1031
696	2368	1029
697	2373	1027
698	2380	1025
699	2386	1022
700	2390	1019
701	2393	1016
702	2396	1012
703	2399	1008
704	2401	1004
705	2404	1001
706	2407	997
707	2410	994
708	2415	991
709	2420	988
710	2426	986
711	2429	982
712	2431	978
713	2434	975
714	2437	971
715	2440	968
716	2443	964
717	2446	960
718	2449	957
719	2452	953
720	2454	949
721	2457	946
722	2460	942
723	2462	938
724	2465	935
725	2468	931
726	2471	928
727	2474	924
728	2476	920
729	2479	917
730	2482	913
731	2484	909
732	2487	906
733	2489	902
734	2495	899
735	2500	896
736	2507	894
737	2510	891
738	2513	887
739	2516	884
740	2519	880
741	2521	876
742	2528	874
743	2533	871
744	2537	868
745	2540	864
746	2543	861
747	2546	857
748	2549	854
749	2551	850
750	2554	846
751	2556	843
752	2559	839
753	2562	835
754	2564	832
755	2567	828
756	2569	824
757	2572	821
758	2576	817
759	2578	814
760	2581	810
761	2584	807
762	2586	803
763	2589	799
764	2592	796
765	2595	792
766	2598	789
767	2600	785
768	2603	782
769	2606	778
770	2608	774
771	2611	771
772	2614	767
773	2617	764
774	2620	760
775	2622	757
776	2625	753
777	2628	749
778	2630	746
779	2633	742
780	2636	739
781	2638	735
782	2643	732
783	2649	729
784	2655	727
785	2660	724
786	2662	720
787	2665	717
788	2668	713
789	2671	710
790	2674	706
791	2680	703
792	2683	700
793	2686	697
794	2689	693
795	2692	689
796	2695	686
797	2697	682
798	2700	679
799	2703	675
800	2705	672
801	2709	668
802	2712	665
803	2715	661
804	2718	658
805	2720	654
806	2723	651
807	2725	647
808	2730	644
809	2735	641
810	2740	638
811	2747	636
812	2758	634
813	2764	631
814	2768	628
815	2774	625
816	2779	622
817	2784	619
818	2787	616
819	2790	612
820	2797	610
821	2803	607
822	2808	604
823	2811	600
824	2814	596
825	2818	593
826	2821	590
827	2824	586
828	2828	583
829	2831	579
830	2834	576
831	2836	572
832	2840	569
833	2843	565
834	2846	562
835	2849	559
836	2852	555
837	2855	552
838	2858	548
839	2861	544
840	2864	541
841	2867	538
842	2870	534
843	2874	531
844	2877	527
845	2879	524
846	2883	520
847	2886	517
848	2889	513
849	2892	510
850	2896	507
851	2899	503
852	2902	500
853	2907	497
854	2912	493
855	2915	490
856	2919	487
857	2922	483
858	2925	480
859	2927	476
860	2931	473
861	2933	469
862	2936	466
863	2939	462
864	2942	459
865	2944	455
866	2947	452
867	2950	448
868	2953	445
869	2955	441
870	2958	438
871	2961	434
872	2964	431
873	2966	427
874	2969	424
875	2973	420
876	2975	417
877	2979	413
878	2985	410
879	2989	407
880	2994	404
881	2997	401
882	3000	397
883	3003	394
884	3006	390
885	3009	387
886	3012	383
887	3015	380
888	3017	376
889	3020	373
890	3022	369
891	3025	366
892	3028	362
893	3031	359
894	3034	355
895	3037	352
896	3040	349
897	3046	345
898	3052	342
899	3055	339
900	3058	336
901	3061	332
902	3064	329
903	3067	325
904	3070	322
905	3073	318
906	3076	315
907	3080	312
908	3082	308
909	3086	305
910	3089	301
911	3091	298
912	3094	294
913	3098	291
914	3102	288
915	3106	284
916	3109	281
917	3111	277
918	3114	274
919	3117	271
920	3120	267
921	3123	264
922	3126	260
923	3129	257
924	3131	253
925	3134	250
926	3137	247
927	3140	243
928	3143	240
929	3151	237
930	3153	233
931	3156	230
932	3159	226
933	3162	223
934	3164	220
935	3167	216
936	3171	213
937	3173	209
938	3176	206
939	3179	202
940	3183	199
941	3186	196
942	3188	192
943	3191	189
944	3196	186
945	3198	182
946	3202	179
947	3207	175
948	3213	172
949	3220	169
950	3226	166
951	3232	162
952	3239	159
953	3244	156
954	3251	153
955	3257	149
956	3262	146
957	3267	143
958	3272	139
959	3275	136
960	3278	133
961	3281	129
962	3286	126
963	3289	122
964	3292	119
965	3295	115
966	3298	112
967	3301	109
968	3306	105
969	3309	102
970	3312	98
971	3317	95
972	3320	92
973	3322	88
974	3326	85
975	3329	81
976	3332	78
977	3337	75
978	3340	71
979	3344	68
980	3350	64
981	3356	61
982	3362	58
983	3368	54
984	3375	51
985	3378	47
986	3382	44
987	3385	41
988	3388	37
989	3391	34
990	3394	30
991	3397	27
992	3405	24
993	3412	20
994	3416	17
995	3419	13
996	3422	10
997	3424	6
998	3428	3
999	3431	0
