iter	RMSE
194	6513.731846
195	6507.865249
196	6503.328231
197	6497.461751
198	6491.481268
199	6484.173589
200	6478.908421
201	6473.240075
202	6468.140139
203	6461.036146
204	6455.284438
205	6451.244025
206	6446.739485
207	6439.013719
208	6431.793209
209	6423.611303
210	6417.908218
211	6411.56432
212	6408.721935
213	6403.849911
214	6400.211694
215	6393.786255
216	6388.297032
217	6382.438226
218	6375.631472
219	6371.380318
220	6365.14804
221	6356.309954
222	6349.309056
223	6346.745725
224	6337.824519
225	6329.914936
226	6324.869326
227	6321.293947
228	6316.753348
229	6312.238201
230	6305.881269
231	6301.872641
232	6292.275745
233	6286.792647
234	6280.133428
235	6271.471698
236	6266.375156
237	6259.509098
238	6256.16889
239	6247.718229
240	6241.87938
241	6235.998442
242	6232.191806
243	6228.165642
244	6222.821812
245	6219.17186
246	6208.177138
247	6202.877007
248	6197.940509
249	6188.250342
250	6182.605432
251	6178.095251
252	6167.98906
253	6162.516922
254	6158.899315
255	6153.848973
256	6145.212517
257	6136.667954
258	6132.114654
259	6127.712012
260	6124.670429
261	6120.892399
262	6117.290131
263	6108.777516
264	6105.24096
265	6103.284731
266	6101.318714
267	6096.841483
268	6094.371869
269	6088.82649
270	6082.548129
271	6079.644015
272	6074.92651
273	6068.054716
274	6064.258882
275	6058.209376
276	6054.237897
277	6051.324632
278	6046.70779
279	6041.828233
280	6037.58127
281	6031.026746
282	6025.741356
283	6021.675392
284	6015.926817
285	6012.936792
286	6007.930759
287	6004.132942
288	5999.821258
289	5996.470216
290	5993.262157
291	5988.780273
292	5985.553971
293	5982.160398
294	5977.744732
295	5974.864567
296	5969.314753
297	5965.587462
298	5961.559092
299	5956.025423
300	5952.065115
301	5948.42898
302	5944.158386
303	5938.697763
304	5934.554193
305	5929.553096
306	5924.94206
307	5921.022929
308	5918.152896
309	5913.878398
310	5911.46886
311	5905.532309
312	5901.775992
313	5899.281277
314	5895.667585
315	5893.171351
316	5889.702621
317	5885.17066
318	5880.783128
319	5875.863217
320	5868.705432
321	5865.990126
322	5862.704541
323	5859.297469
324	5855.593549
325	5852.986784
326	5848.058492
327	5845.15739
328	5842.941931
329	5839.760346
330	5836.007308
331	5833.342663
332	5830.316847
333	5826.753879
334	5820.59611
335	5816.935337
336	5810.874965
337	5807.737588
338	5803.698925
339	5800.940099
340	5798.354672
341	5796.36603
342	5792.479966
343	5789.216333
344	5784.862102
345	5781.792402
346	5778.075125
347	5774.361877
348	5768.805575
349	5763.992285
350	5761.758562
351	5758.498616
352	5754.792976
353	5751.109027
354	5748.603347
355	5745.231778
356	5742.967805
357	5740.544127
358	5738.592514
359	5735.015923
360	5729.749776
361	5726.059602
362	5721.673773
363	5718.912924
364	5717.133975
365	5713.290813
366	5710.97116
367	5706.493326
368	5704.206743
369	5700.482842
370	5696.435618
371	5693.833976
372	5691.113783
373	5687.379433
374	5682.522533
375	5675.823913
376	5672.261483
377	5668.680157
378	5664.724998
379	5661.7809
380	5659.675134
381	5655.658027
382	5653.073898
383	5645.923323
384	5641.839134
385	5640.354398
386	5637.106816
387	5631.827988
388	5629.592618
389	5627.852971
390	5625.022227
391	5621.841252
392	5618.051791
393	5617.00281
394	5613.682082
395	5611.440938
396	5607.902439
397	5604.704212
398	5601.57124
399	5599.285544
400	5596.653057
401	5595.104804
402	5591.78719
403	5589.617219
404	5586.808885
405	5584.838561
406	5582.733935
407	5579.135593
408	5576.59852
409	5574.147522
410	5571.925913
411	5569.096464
412	5567.088061
413	5565.575886
414	5562.980064
415	5560.726041
416	5556.57152
417	5553.953375
418	5549.896558
419	5546.19399
420	5544.115371
421	5541.816927
422	5540.208825
423	5537.529533
424	5535.08273
425	5532.559188
426	5530.63246
427	5528.549902
428	5523.607369
429	5519.577042
430	5517.262698
431	5515.086262
432	5513.206527
433	5510.749926
434	5508.786739
435	5503.607214
436	5501.394141
437	5498.569994
438	5497.125923
439	5493.398038
440	5489.08803
441	5484.829421
442	5481.970741
443	5478.479165
444	5474.549081
445	5471.508297
446	5468.93704
447	5466.245645
448	5462.978244
449	5460.995369
450	5458.527165
451	5457.093889
452	5453.784054
453	5450.038566
454	5446.906828
455	5445.119894
456	5442.601218
457	5439.70728
458	5437.525784
459	5435.932835
460	5433.177374
461	5430.871944
462	5428.310786
463	5426.866624
464	5425.514052
465	5422.000724
466	5417.480307
467	5414.132164
468	5411.962901
469	5409.102435
470	5405.066852
471	5400.490259
472	5396.22395
473	5394.555205
474	5391.860171
475	5390.532078
476	5389.27632
477	5388.210597
478	5386.358711
479	5383.505412
480	5381.9454
481	5379.515814
482	5376.232079
483	5373.781071
484	5370.883473
485	5368.16123
486	5366.143379
487	5362.677756
488	5359.440215
489	5356.973321
490	5354.898045
491	5352.331465
492	5350.900871
493	5349.255315
494	5346.246705
495	5343.122045
496	5339.20697
497	5337.387322
498	5334.066649
499	5333.041962
500	5331.241748
501	5328.460438
502	5327.128269
503	5323.592168
504	5321.765381
505	5320.405659
506	5318.33601
507	5316.743433
508	5315.053341
509	5313.893675
510	5313.137914
511	5310.758445
512	5308.176297
513	5306.797866
514	5305.363052
515	5302.640677
516	5300.940173
517	5299.378969
518	5297.703323
519	5295.007912
520	5290.653512
521	5288.030863
522	5285.951108
523	5283.672493
524	5280.365893
525	5278.445157
526	5274.589523
527	5271.437749
528	5269.609729
529	5266.347166
530	5263.544949
531	5262.225175
532	5260.148178
533	5258.35803
534	5256.30771
535	5255.203097
536	5252.605414
537	5251.167658
538	5249.447754
539	5247.507349
540	5246.548085
541	5245.133878
542	5244.08351
543	5241.685517
544	5239.665374
545	5237.248833
546	5236.145463
547	5234.259924
548	5232.38441
549	5230.693247
550	5229.441888
551	5226.012008
552	5222.897146
553	5220.992594
554	5219.143466
555	5214.858972
556	5211.186699
557	5209.714235
558	5207.20995
559	5205.483942
560	5203.487176
561	5201.103923
562	5198.023405
563	5196.474951
564	5194.680337
565	5191.684455
566	5190.963755
567	5189.627941
568	5188.254726
569	5187.414651
570	5184.308661
571	5182.109249
572	5179.722364
573	5177.663455
574	5176.447279
575	5173.831967
576	5171.888458
577	5169.449109
578	5167.030981
579	5164.913473
580	5163.820255
581	5160.996842
582	5159.476067
583	5156.418581
584	5154.96707
585	5153.943532
586	5151.508259
587	5149.605622
588	5147.476374
589	5146.008334
590	5142.700619
591	5142.058048
592	5139.533296
593	5137.03673
594	5133.751865
595	5132.861956
596	5130.629591
597	5129.782968
598	5127.745993
599	5124.913093
600	5123.652747
601	5121.979342
602	5120.145772
603	5117.18168
604	5114.559485
605	5113.386658
606	5110.126735
607	5108.611144
608	5105.939172
609	5102.196297
610	5099.980968
611	5097.338834
612	5095.021711
613	5093.108052
614	5089.726334
615	5087.487882
616	5086.897605
617	5085.260927
618	5081.405607
619	5079.875232
620	5077.941461
621	5074.740101
622	5072.912562
623	5071.559557
624	5070.232563
625	5067.1936
626	5066.030547
627	5065.004372
628	5062.016855
629	5060.078698
630	5056.778298
631	5053.766292
632	5051.73991
633	5049.34022
634	5046.717144
635	5044.647408
636	5043.668692
637	5042.729241
638	5041.821143
639	5040.538893
640	5039.753532
641	5036.874424
642	5035.208625
643	5034.537317
644	5031.618263
645	5029.816736
646	5027.561141
647	5026.768604
648	5024.605226
649	5022.733567
650	5020.90223
651	5019.506732
652	5018.825518
653	5017.432473
654	5015.110701
655	5012.446427
656	5011.761514
657	5010.983774
658	5008.662243
659	5007.052364
660	5004.393158
661	5002.571889
662	5000.122454
663	4998.383112
664	4994.963828
665	4993.862046
666	4992.108466
667	4991.212633
668	4990.27237
669	4988.074254
670	4985.447842
671	4984.230104
672	4981.815175
673	4978.716702
674	4977.642493
675	4975.453804
676	4973.313859
677	4971.974226
678	4970.767895
679	4968.858514
680	4967.718737
681	4966.623873
682	4963.794779
683	4961.675266
684	4959.993286
685	4959.077087
686	4958.104241
687	4957.134511
688	4956.063353
689	4955.232969
690	4953.102152
691	4952.095609
692	4950.889911
693	4949.289943
694	4947.747585
695	4945.483249
696	4944.820112
697	4943.340001
698	4940.628088
699	4938.070653
700	4936.654231
701	4935.955379
702	4933.888345
703	4932.242696
704	4929.622254
705	4927.070981
706	4925.487743
707	4924.076581
708	4922.87789
709	4921.390637
710	4919.207215
711	4917.135375
712	4914.244478
713	4913.272841
714	4911.469634
715	4910.816019
716	4907.723062
717	4906.899992
718	4904.172871
719	4902.244152
720	4900.102578
721	4899.130803
722	4898.653455
723	4898.087126
724	4897.125316
725	4894.697816
726	4892.044005
727	4891.523241
728	4890.629909
729	4888.773638
730	4886.016203
731	4884.420831
732	4882.924249
733	4881.962093
734	4880.385671
735	4878.925218
736	4877.456575
737	4875.989385
738	4874.58873
739	4873.418069
740	4871.210711
741	4870.031547
742	4869.175213
743	4868.25486
744	4867.131779
745	4866.040227
746	4864.601669
747	4863.518437
748	4862.616704
749	4861.392127
750	4859.78616
751	4857.820246
752	4856.739099
753	4854.679975
754	4852.866899
755	4852.06201
756	4849.979603
757	4848.582058
758	4846.858577
759	4844.792999
760	4843.211633
761	4841.849786
762	4840.223656
763	4838.579387
764	4837.378381
765	4834.886122
766	4832.96814
767	4830.812167
768	4829.728982
769	4827.832351
770	4826.723092
771	4825.551979
772	4824.354947
773	4822.407183
774	4820.01994
775	4818.359131
776	4816.110566
777	4815.337816
778	4814.408635
779	4813.374245
780	4812.556596
781	4812.048689
782	4810.326775
783	4807.493372
784	4806.083758
785	4805.472702
786	4803.598964
787	4802.350254
788	4801.488075
789	4800.55341
790	4797.731016
791	4795.452684
792	4793.813928
793	4791.997884
794	4790.88483
795	4789.337085
796	4788.815335
797	4787.997304
798	4787.070661
799	4785.316182
800	4783.746074
801	4782.396952
802	4780.720027
803	4779.032251
804	4776.58295
805	4773.98718
806	4771.78801
807	4769.322953
808	4768.001806
809	4766.387082
810	4765.659929
811	4763.52961
812	4762.25219
813	4760.28193
814	4759.852245
815	4758.237799
816	4757.021255
817	4755.805185
818	4754.717099
819	4752.688518
820	4750.995253
821	4749.68426
822	4747.925663
823	4746.851369
824	4745.78307
825	4744.623039
826	4743.196945
827	4740.424034
828	4738.750837
829	4737.254546
830	4736.024155
831	4733.471404
832	4731.556065
833	4730.892189
834	4729.259625
835	4727.82688
836	4726.70884
837	4724.791171
838	4723.95701
839	4722.071069
840	4720.17187
841	4717.604577
842	4716.666419
843	4714.997902
844	4712.080403
845	4711.387724
846	4709.692854
847	4708.370158
848	4706.941935
849	4705.535134
850	4704.523225
851	4703.7934
852	4701.666396
853	4700.606124
854	4699.5993
855	4698.897313
856	4697.531056
857	4696.019526
858	4694.874793
859	4693.496351
860	4692.728871
861	4690.614758
862	4688.888125
863	4687.633634
864	4686.845898
865	4685.439327
866	4684.479272
867	4683.702517
868	4682.504985
869	4681.63645
870	4680.909202
871	4678.410447
872	4676.62943
873	4675.248237
874	4673.0854
875	4672.182352
876	4671.318129
877	4670.68001
878	4669.048421
879	4667.443345
880	4666.444658
881	4664.82988
882	4663.771408
883	4663.249707
884	4662.023802
885	4661.072215
886	4660.232913
887	4658.849538
888	4658.015347
889	4656.792759
890	4655.822814
891	4653.97646
892	4653.503937
893	4651.721986
894	4650.227667
895	4648.963674
896	4647.786589
897	4646.124778
898	4644.798322
899	4643.310923
900	4642.576523
901	4642.021026
902	4641.160042
903	4639.281195
904	4637.758794
905	4635.566911
906	4634.729963
907	4632.775586
908	4631.899029
909	4630.774241
910	4630.267723
911	4629.595219
912	4628.893943
913	4627.172222
914	4626.523479
915	4625.176583
916	4623.79212
917	4622.298069
918	4621.290109
919	4619.709609
920	4618.972692
921	4617.521507
922	4616.686817
923	4615.566885
924	4614.54547
925	4613.747732
926	4612.890828
927	4611.778083
928	4609.568998
929	4608.126324
930	4607.080026
931	4605.860132
932	4605.357061
933	4604.60953
934	4603.319751
935	4602.396583
936	4601.625614
937	4600.227288
938	4599.179993
939	4597.863284
940	4596.679954
941	4594.911116
942	4593.901419
943	4592.74052
944	4591.466649
945	4589.875073
946	4588.822285
947	4588.175784
948	4585.906194
949	4584.152739
950	4583.279462
951	4581.942309
952	4580.12492
953	4579.506496
954	4578.309956
955	4577.467848
956	4576.611616
957	4575.228342
958	4574.18942
959	4572.552736
960	4571.090388
961	4570.335733
962	4568.391182
963	4566.720493
964	4565.861312
965	4564.030237
966	4562.856485
967	4561.385087
968	4560.003756
969	4559.237692
970	4558.668601
971	4556.968805
972	4556.438261
973	4555.62292
974	4553.786704
975	4551.827816
976	4551.291193
977	4550.162205
978	4549.476425
979	4548.868414
980	4547.835469
981	4547.300664
982	4546.233713
983	4544.609267
984	4543.484765
985	4543.304305
986	4542.348847
987	4541.231908
988	4539.139019
989	4536.919908
990	4535.885894
991	4534.699984
992	4533.413135
993	4532.442663
994	4530.733762
995	4529.361071
996	4528.834637
997	4527.958688
998	4527.394241
999	4526.307595
