iter	RMSE
0	15200.54431
1	14782.03664
2	14363.99658
3	13992.00189
4	13664.87639
5	13347.09756
6	13031.47388
7	12770.44388
8	12515.15847
9	12278.53035
10	12049.03101
11	11856.31396
12	11614.45427
13	11396.12384
14	11215.2802
15	11051.22263
16	10877.1547
17	10701.46296
18	10535.25025
19	10394.24731
20	10275.78155
21	10165.30596
22	10052.7521
23	9974.948053
24	9896.948347
25	9800.578919
26	9711.250699
27	9628.965239
28	9538.354893
29	9443.225272
30	9371.138244
31	9313.20967
32	9260.095592
33	9195.738089
34	9137.102456
35	9063.296225
36	8988.905178
37	8941.749052
38	8898.956708
39	8838.841432
40	8803.674462
41	8764.38251
42	8720.348567
43	8670.218035
44	8638.05875
45	8601.751059
46	8571.978646
47	8527.404764
48	8493.015344
49	8466.560091
50	8440.942389
51	8412.150735
52	8375.580168
53	8342.581469
54	8317.076657
55	8287.016889
56	8254.36779
57	8231.971241
58	8199.222482
59	8156.032044
60	8126.722907
61	8090.579845
62	8070.165137
63	8053.955101
64	8033.782742
65	8013.555177
66	7978.081064
67	7951.646325
68	7928.576245
69	7908.992855
70	7891.684418
71	7874.478197
72	7847.407645
73	7824.099922
74	7804.912363
75	7787.344295
76	7776.744157
77	7761.26549
78	7750.720352
79	7729.668198
80	7714.087592
81	7699.032079
82	7677.568494
83	7657.278657
84	7628.128241
85	7615.847847
86	7594.922212
87	7580.768461
88	7562.740665
89	7552.318067
90	7537.976444
91	7520.268478
92	7505.947772
93	7485.258003
94	7470.141599
95	7449.867354
96	7439.934315
97	7425.943579
98	7404.677335
99	7394.862446
100	7375.680715
101	7366.10779
102	7353.65478
103	7343.854256
104	7326.094673
105	7310.179214
106	7297.683086
107	7285.660113
108	7276.911676
109	7268.29024
110	7255.833513
111	7244.181495
112	7234.54476
113	7218.888482
114	7202.562455
115	7191.619846
116	7180.277037
117	7164.656557
118	7154.48314
119	7146.407446
120	7131.285211
121	7119.038534
122	7113.704301
123	7103.378199
124	7097.840246
125	7082.2313
126	7074.477144
127	7065.737398
128	7050.6989
129	7037.005704
130	7029.931649
131	7018.167863
132	7007.274105
133	7000.133822
134	6994.616619
135	6984.854287
136	6978.817494
137	6972.388333
138	6963.49143
139	6956.299464
140	6948.385809
141	6943.786057
142	6935.276949
143	6924.829394
144	6918.30818
145	6912.448885
146	6904.961719
147	6896.357598
148	6888.719763
149	6869.474687
150	6862.065106
151	6853.844698
152	6848.644637
153	6841.342877
154	6837.002397
155	6819.053736
156	6809.345182
157	6795.467525
158	6786.988304
159	6780.179082
160	6768.785954
161	6762.488014
162	6752.763317
163	6743.415231
164	6732.293854
165	6723.883433
166	6718.580135
167	6713.813933
168	6706.653354
169	6697.850086
170	6688.222659
171	6678.559838
172	6669.884286
173	6664.354081
174	6654.673265
175	6647.284701
176	6636.96599
177	6632.813925
178	6627.377109
179	6622.267238
180	6613.42382
181	6606.105534
182	6597.500547
183	6593.138354
184	6588.868163
185	6580.222522
186	6568.716411
187	6562.1071
188	6557.537574
189	6549.501559
190	6543.252951
191	6536.144506
192	6531.002104
193	6522.338265
